ön	/ön+Adj
son	/son+Adj
iç	/iç+Adj
var	/var+Adj /var+Verb+Pos+Imp+A2sg
yok	/yok+Adj
dış	/dış+Adj
ileri	/ileri+Noun+A3sg+Pnon+Nom /ileri+Adj /ileri+Noun+A3sg+Pnon+Dat
dışarı	/dışarı+Noun+A3sg+Pnon+Nom /dışarı+Adj /dışarı+Postp+PCAbl /dışarı+Noun+A3sg+Pnon+Dat
içeri	/içeri+Noun+A3sg+Pnon+Dat /içeri+Adj /içeri+Noun+A3sg+Pnon+Nom
dışardan	dan/dışarı+Noun+A3sg+Pnon+Abl
ilerden	den/ileri+Noun+A3sg+Pnon+Abl
içerden	den/içeri+Noun+A3sg+Pnon+Abl
yukardan	dan/yukarı+Noun+A3sg+Pnon+Abl
i	/1+Num+Card
yılbaşı	ı/yılbaş+Noun+A3sg+P3sg+Nom
için	/iç+Noun+A3sg+P2sg+Nom /iç+Noun+A3sg+Pnon+Gen /iç+Verb+Pos+Imp+A2pl /için+Postp+PCNom
ile	/il+Noun+A3sg+Pnon+Dat /ile+Conj /ile+Postp+PCNom
çok	/çok+Det /çok+Adverb /çok+Adj /çok+Postp+PCAbl
gibi	/gibi+Postp+PCNom
kadar	/kadar+Noun+A3sg+Pnon+Nom /kadar+Postp+PCDat
sonra	/sonra+Adverb /sonra+Noun+A3sg+Pnon+Nom /sonra+Postp+PCAbl
göre	/gör+Verb+Pos+Opt+A3sg /göre+Postp+PCDat
diye	/diye+Postp+PCNom /de+Verb+Pos+Opt+A3sg
önce	/ön+Noun+A3sg+Pnon+Equ /ön+Adj^DB+Adverb+Ly /ön+Adj^DB+Adj+AsIf /önce+Adverb /önce+Noun+A3sg+Pnon+Nom /önce+Postp+PCAbl
birlikte	/birlikte+Adverb /birlikte+Postp+PCIns /birlik+Noun+A3sg+Pnon+Loc /bir+Adj^DB+Noun+Ness+A3sg+Pnon+Loc /bir+Num+Card^DB+Noun+Ness+A3sg+Pnon+Loc
fazla	/faz+Noun+A3sg+Pnon+Ins /fazla+Adverb /fazla+Adj /fazla+Postp+PCAbl
üzere	/üzere+Postp+PCNom
yönelik	/yönelik+Postp+PCDat
az	/az+Adverb /az+Adj /az+Verb+Pos+Imp+A2sg /az+Postp+PCAbl
ait	/ait+Postp+PCDat
kalan	/kal+Verb+Pos^DB+Adj+PresPart /kala+Noun+A3sg+P2sg+Nom /kala+Postp+PCNom^DB+Noun+Zero+A3sg+P2sg+Nom /kalan+Noun+A3sg+Pnon+Nom
yana	/yan+Noun+A3sg+Pnon+Dat /yan+Verb+Pos+Opt+A3sg /yana+Postp+PCAbl
boyunca	/boy+Noun+A3sg+P3sg+Equ /boy+Noun+A3sg+P2sg+Equ /boyunca+Postp+PCNom /boyun+Noun+A3sg+Pnon+Equ
önceki	/önce+Noun+A3sg+Pnon+Nom^DB+Adj+Rel /önce+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel
itibaren	/itibaren+Postp+PCAbl
beri	/beri+Adverb /beri+Noun+A3sg+Pnon+Dat /beri+Noun+A3sg+Pnon+Nom /beri+Postp+PCAbl
dair	/dair+Postp+PCDat
